,Afrikaans,Arabic,Armenian,Basque,Belarusian,Bulgarian,Catalan,Chinese,Classical Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Galician,German,Gothic,Greek,Hebrew,Hindi,Hungarian,Indonesian,Irish,Italian,Japanese,Kazakh,Korean,Latin,Latvian,Lithuanian,Maltese,Marathi,North Sami,Old Church Slavonic,Persian,Polish,Portuguese,Romanian,Russian,Sanskrit,Scottish Gaelic,Serbian,Slovak,Slovenian,Spanish,Swedish,Tamil,Telugu,Turkish,Ukrainian,Urdu,Uyghur,Vietnamese,Welsh,Wolof
Czech,0.6662,0.224,0.5283,0.6252,0.8242,0.8039,0.773,0.54,0.0406,0.7821,1.0,0.8315,0.8178,0.7712,0.7858,0.0,0.7484,0.7744,0.7804,0.2295,0.8228,0.6635,0.5033,0.3292,0.4715,0.571,0.8385,0.5042,0.1822,0.4863,0.6851,0.8382,0.825,0.7394,0.5913,0.4957,0.3349,0.0025,0.911,0.5818,0.7834,0.7761,0.1897,0.5231,0.7544,0.9387,0.7859,0.8005,0.8143,0.4826,0.632,0.6202,0.87,0.5202,0.4909,0.5842,0.5081,0.1654
Danish,0.7636,0.2083,0.6894,0.7703,0.79,0.7547,0.8025,0.6493,0.0572,0.8034,0.8315,1.0,0.8995,0.8058,0.8931,0.0,0.739,0.802,0.8287,0.3228,0.799,0.6338,0.5909,0.3947,0.4245,0.6899,0.855,0.6806,0.1992,0.6676,0.7911,0.8244,0.8455,0.7265,0.7034,0.6245,0.4717,0.0033,0.7884,0.6205,0.8085,0.7626,0.2653,0.6247,0.8378,0.8256,0.8051,0.7847,0.9208,0.5616,0.7238,0.6939,0.8328,0.5953,0.53,0.668,0.5831,0.1736
Dutch,0.7703,0.2045,0.5798,0.7355,0.7601,0.7822,0.8063,0.6607,0.0595,0.7785,0.8178,0.8995,1.0,0.857,0.8573,0.0,0.8007,0.7829,0.8953,0.3144,0.7967,0.5985,0.5779,0.4178,0.4779,0.6843,0.8983,0.6368,0.2045,0.6571,0.7922,0.8309,0.8361,0.7386,0.6862,0.6033,0.4696,0.0005,0.785,0.6356,0.8145,0.7411,0.2526,0.6213,0.7827,0.8181,0.7773,0.7948,0.8991,0.5566,0.709,0.6629,0.8015,0.5835,0.5214,0.6535,0.5815,0.2153
English,0.7148,0.1874,0.5317,0.6142,0.7264,0.7963,0.798,0.5564,0.0452,0.7443,0.7712,0.8058,0.857,1.0,0.709,0.0,0.7781,0.7376,0.8248,0.2516,0.7527,0.5667,0.5275,0.4137,0.621,0.5449,0.8614,0.5153,0.1696,0.5382,0.6722,0.7422,0.7487,0.7461,0.5824,0.4996,0.3877,0.0,0.7486,0.6796,0.8085,0.6483,0.2037,0.5231,0.7362,0.7981,0.7366,0.7952,0.7974,0.4544,0.5716,0.571,0.7363,0.5245,0.4138,0.6561,0.4676,0.1672
Estonian,0.7127,0.2036,0.5717,0.7582,0.773,0.6864,0.7305,0.6861,0.0617,0.7431,0.7858,0.8931,0.8573,0.709,1.0,0.0058,0.6641,0.7641,0.7947,0.3304,0.7579,0.6364,0.5702,0.4006,0.3785,0.7262,0.8012,0.7056,0.1963,0.7026,0.7736,0.8378,0.8275,0.6723,0.6692,0.6308,0.4897,0.0006,0.7467,0.5424,0.7493,0.7772,0.2713,0.6127,0.7654,0.7703,0.7468,0.7292,0.8815,0.6197,0.7691,0.6968,0.8254,0.5573,0.5632,0.6366,0.621,0.2585
Finnish,0.0,0.0,0.001,0.0007,0.0,0.0,0.0005,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0058,1.0,0.0075,0.0,0.0023,0.0,0.0,0.0,0.0,0.0028,0.0005,0.0,0.0,0.0,0.0011,0.0,0.0,0.0137,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0003,0.0013,0.0069,0.0,0.0615,0.0,0.0149,0.0008,0.0004,0.0013,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.18
French,0.6818,0.2135,0.4801,0.656,0.627,0.7741,0.8111,0.6299,0.0528,0.7215,0.7484,0.739,0.8007,0.7781,0.6641,0.0075,1.0,0.7344,0.7039,0.2554,0.7214,0.4232,0.5387,0.3561,0.4285,0.5698,0.8263,0.503,0.195,0.5376,0.7117,0.6851,0.7815,0.6987,0.6166,0.4755,0.3703,0.0006,0.7242,0.6615,0.7823,0.5425,0.2148,0.5415,0.7189,0.7791,0.7296,0.7703,0.7638,0.479,0.5383,0.524,0.6718,0.553,0.4235,0.6039,0.5157,0.2195
Galician,0.7078,0.2092,0.5135,0.6821,0.7012,0.7547,0.775,0.6268,0.0572,0.7442,0.7744,0.802,0.7829,0.7376,0.7641,0.0,0.7344,1.0,0.7462,0.2923,0.7434,0.5007,0.5193,0.3552,0.3804,0.6222,0.8194,0.5793,0.192,0.5986,0.7358,0.7175,0.7713,0.6868,0.6458,0.5266,0.4159,0.0013,0.7534,0.6029,0.77,0.6317,0.2356,0.568,0.7478,0.805,0.7399,0.7642,0.8034,0.511,0.6356,0.6316,0.7538,0.5482,0.4948,0.6337,0.5321,0.1981
German,0.7211,0.1911,0.5183,0.6563,0.7398,0.7743,0.7458,0.5885,0.0497,0.7151,0.7804,0.8287,0.8953,0.8248,0.7947,0.0023,0.7039,0.7462,1.0,0.2729,0.746,0.5687,0.5074,0.4058,0.4453,0.605,0.8515,0.5605,0.172,0.5778,0.7162,0.8108,0.7722,0.71,0.595,0.5396,0.4219,0.0023,0.753,0.5777,0.7879,0.7191,0.2261,0.5277,0.7274,0.7788,0.7064,0.7635,0.8166,0.5144,0.6642,0.6058,0.7761,0.4986,0.488,0.6172,0.5012,0.1905
Gothic,0.3062,0.0717,0.2158,0.3508,0.1814,0.2312,0.284,0.4068,0.118,0.2633,0.2295,0.3228,0.3144,0.2516,0.3304,0.0,0.2554,0.2923,0.2729,1.0,0.224,0.1078,0.2492,0.1891,0.0859,0.3124,0.286,0.3188,0.0994,0.3746,0.4558,0.2326,0.3169,0.204,0.3931,0.391,0.5242,0.0,0.23,0.216,0.2812,0.178,0.2835,0.3596,0.2848,0.2466,0.2611,0.2333,0.3498,0.2424,0.3074,0.2836,0.2089,0.2492,0.2353,0.2864,0.2672,0.0882
Greek,0.6432,0.2066,0.53,0.5927,0.8189,0.7599,0.7588,0.5276,0.0495,0.7335,0.8228,0.799,0.7967,0.7527,0.7579,0.0,0.7214,0.7434,0.746,0.224,1.0,0.6615,0.4744,0.355,0.5514,0.5526,0.8124,0.4995,0.2288,0.475,0.6719,0.8092,0.8056,0.7607,0.5748,0.5103,0.3436,0.0022,0.7755,0.585,0.7478,0.8367,0.2062,0.4938,0.7229,0.8091,0.7381,0.7847,0.8399,0.4826,0.6555,0.6007,0.837,0.4791,0.5036,0.5977,0.4953,0.1805
Hebrew,0.4171,0.1453,0.3454,0.3316,0.8334,0.4961,0.4551,0.2793,0.0337,0.513,0.6635,0.6338,0.5985,0.5667,0.6364,0.0,0.4232,0.5007,0.5687,0.1078,0.6615,1.0,0.272,0.2351,0.3809,0.3697,0.5596,0.3197,0.1294,0.2367,0.3814,0.7528,0.5554,0.612,0.335,0.401,0.1733,0.0,0.6021,0.3259,0.4775,0.8424,0.0954,0.3093,0.4944,0.6207,0.54,0.4988,0.5616,0.3126,0.5347,0.5085,0.8078,0.2914,0.4322,0.4426,0.3622,0.0985
Hindi,0.5638,0.1469,0.5829,0.7112,0.3857,0.5244,0.5978,0.5464,0.0503,0.6261,0.5033,0.5909,0.5779,0.5275,0.5702,0.0,0.5387,0.5193,0.5074,0.2492,0.4744,0.272,1.0,0.4685,0.3936,0.5164,0.6105,0.578,0.1922,0.595,0.5815,0.5026,0.5665,0.3611,0.5397,0.4357,0.4596,0.0913,0.4688,0.4167,0.6021,0.3596,0.2123,0.5281,0.5958,0.5447,0.6213,0.5636,0.5918,0.472,0.4494,0.4818,0.4293,0.7133,0.3557,0.3841,0.4779,0.3067
Hungarian,0.3313,0.0847,0.2558,0.4113,0.345,0.368,0.3854,0.366,0.0305,0.3765,0.3292,0.3947,0.4178,0.4137,0.4006,0.0028,0.3561,0.3552,0.4058,0.1891,0.355,0.2351,0.4685,1.0,0.4486,0.3432,0.4054,0.338,0.1472,0.4255,0.374,0.336,0.4368,0.3493,0.3361,0.3542,0.4107,0.0,0.3421,0.3474,0.3693,0.2538,0.179,0.3453,0.3379,0.3748,0.3551,0.406,0.3992,0.3159,0.3462,0.3442,0.313,0.3612,0.2507,0.3381,0.3105,0.2282
Indonesian,0.2904,0.0863,0.2438,0.265,0.4932,0.4913,0.4685,0.2703,0.0286,0.4121,0.4715,0.4245,0.4779,0.621,0.3785,0.0005,0.4285,0.3804,0.4453,0.0859,0.5514,0.3809,0.3936,0.4486,1.0,0.2401,0.4699,0.2778,0.0828,0.3039,0.2695,0.4092,0.4372,0.5013,0.2116,0.2586,0.2428,0.0021,0.4542,0.4618,0.4112,0.4164,0.0618,0.2332,0.3435,0.4762,0.3616,0.5702,0.4307,0.27,0.3244,0.2954,0.4353,0.2776,0.2087,0.3842,0.1914,0.2138
Irish,0.5955,0.1663,0.4384,0.7177,0.526,0.5414,0.5896,0.6333,0.0598,0.5907,0.571,0.6899,0.6843,0.5449,0.7262,0.0,0.5698,0.6222,0.605,0.3124,0.5526,0.3697,0.5164,0.3432,0.2401,1.0,0.6405,0.6261,0.2378,0.665,0.7129,0.598,0.6793,0.4598,0.6562,0.6152,0.45,0.0,0.54,0.4539,0.613,0.509,0.2513,0.5802,0.6008,0.5852,0.6188,0.5475,0.7327,0.5108,0.6894,0.7305,0.5558,0.5312,0.5712,0.5317,0.6153,0.2397
Italian,0.7843,0.2191,0.608,0.7331,0.7413,0.8454,0.8602,0.6396,0.0518,0.8763,0.8385,0.855,0.8983,0.8614,0.8012,0.0,0.8263,0.8194,0.8515,0.286,0.8124,0.5596,0.6105,0.4054,0.4699,0.6405,1.0,0.5912,0.2137,0.6028,0.7729,0.8143,0.8107,0.7348,0.6836,0.5427,0.4277,0.0007,0.7955,0.6462,0.8673,0.7018,0.2309,0.6103,0.8614,0.8488,0.8479,0.847,0.8691,0.5446,0.6562,0.642,0.7932,0.6151,0.5017,0.6221,0.5659,0.2256
Japanese,0.5895,0.1545,0.5209,0.7306,0.4451,0.4721,0.5596,0.6407,0.054,0.5716,0.5042,0.6806,0.6368,0.5153,0.7056,0.0,0.503,0.5793,0.5605,0.3188,0.4995,0.3197,0.578,0.338,0.2778,0.6261,0.5912,1.0,0.2203,0.7789,0.6743,0.5465,0.6358,0.4221,0.5991,0.5161,0.4683,0.0,0.4818,0.4161,0.5909,0.4575,0.2578,0.5358,0.6198,0.5213,0.5711,0.5142,0.683,0.5115,0.6322,0.5464,0.5085,0.5309,0.4647,0.5598,0.5223,0.2147
Kazakh,0.203,0.0513,0.1747,0.2285,0.1876,0.1881,0.1981,0.1673,0.021,0.1951,0.1822,0.1992,0.2045,0.1696,0.1963,0.0011,0.195,0.192,0.172,0.0994,0.2288,0.1294,0.1922,0.1472,0.0828,0.2378,0.2137,0.2203,1.0,0.187,0.2309,0.1868,0.2073,0.1769,0.2851,0.2253,0.2297,0.0,0.1688,0.134,0.2124,0.1617,0.2707,0.1777,0.1826,0.1973,0.2377,0.173,0.2185,0.1665,0.2464,0.3117,0.1779,0.2068,0.3136,0.1471,0.238,0.0507
Korean,0.6097,0.1511,0.4276,0.7442,0.3836,0.492,0.5643,0.6885,0.0654,0.5557,0.4863,0.6676,0.6571,0.5382,0.7026,0.0,0.5376,0.5986,0.5778,0.3746,0.475,0.2367,0.595,0.4255,0.3039,0.665,0.6028,0.7789,0.187,1.0,0.7321,0.4942,0.6629,0.3967,0.643,0.5788,0.5568,0.0,0.4814,0.4667,0.5789,0.3784,0.2885,0.6013,0.5811,0.5218,0.5476,0.5158,0.7181,0.5263,0.6136,0.5879,0.443,0.5549,0.434,0.5794,0.5563,0.2286
Latin,0.7307,0.1998,0.5312,0.8002,0.5542,0.6772,0.7201,0.7329,0.0969,0.707,0.6851,0.7911,0.7922,0.6722,0.7736,0.0,0.7117,0.7358,0.7162,0.4558,0.6719,0.3814,0.5815,0.374,0.2695,0.7129,0.7729,0.6743,0.2309,0.7321,1.0,0.67,0.7893,0.5592,0.7654,0.6381,0.5404,0.0024,0.6591,0.5577,0.7361,0.5561,0.2914,0.6702,0.7263,0.7073,0.7223,0.6605,0.8456,0.5499,0.6716,0.6543,0.626,0.6104,0.5239,0.6219,0.6142,0.1805
Latvian,0.6617,0.2097,0.5159,0.6454,0.8706,0.7833,0.7125,0.5708,0.0515,0.7327,0.8382,0.8244,0.8309,0.7422,0.8378,0.0137,0.6851,0.7175,0.8108,0.2326,0.8092,0.7528,0.5026,0.336,0.4092,0.598,0.8143,0.5465,0.1868,0.4942,0.67,1.0,0.7824,0.7234,0.5543,0.5402,0.3317,0.0018,0.7884,0.5143,0.7608,0.8795,0.1901,0.5081,0.7296,0.805,0.7536,0.7357,0.7892,0.5162,0.6994,0.6188,0.8984,0.4813,0.5488,0.5812,0.555,0.2306
Lithuanian,0.6973,0.2361,0.5242,0.7327,0.7403,0.7384,0.7609,0.676,0.0608,0.7465,0.825,0.8455,0.8361,0.7487,0.8275,0.0,0.7815,0.7713,0.7722,0.3169,0.8056,0.5554,0.5665,0.4368,0.4372,0.6793,0.8107,0.6358,0.2073,0.6629,0.7893,0.7824,1.0,0.7161,0.6682,0.5855,0.4785,0.0019,0.7912,0.6115,0.7698,0.7105,0.2634,0.6023,0.7567,0.8219,0.7437,0.7524,0.8676,0.5609,0.6968,0.6475,0.7775,0.5634,0.5359,0.6676,0.5662,0.2297
Maltese,0.5484,0.1772,0.4776,0.4766,0.7788,0.7231,0.701,0.4622,0.0494,0.644,0.7394,0.7265,0.7386,0.7461,0.6723,0.0,0.6987,0.6868,0.71,0.204,0.7607,0.612,0.3611,0.3493,0.5013,0.4598,0.7348,0.4221,0.1769,0.3967,0.5592,0.7234,0.7161,1.0,0.4774,0.4608,0.2937,0.0,0.7429,0.5751,0.691,0.6672,0.1607,0.3947,0.6606,0.7358,0.631,0.7429,0.6879,0.3984,0.5922,0.5194,0.7644,0.3644,0.4452,0.6419,0.3988,0.1358
Marathi,0.6625,0.171,0.5225,0.702,0.4753,0.5804,0.6569,0.5934,0.1182,0.6459,0.5913,0.7034,0.6862,0.5824,0.6692,0.0,0.6166,0.6458,0.595,0.3931,0.5748,0.335,0.5397,0.3361,0.2116,0.6562,0.6836,0.5991,0.2851,0.643,0.7654,0.5543,0.6682,0.4774,1.0,0.5593,0.4909,0.0,0.5834,0.4891,0.6556,0.4578,0.3507,0.6201,0.6512,0.6165,0.6708,0.5903,0.751,0.496,0.6534,0.6357,0.5346,0.6209,0.5384,0.5481,0.5563,0.1364
North Sami,0.5268,0.1306,0.4023,0.5935,0.4891,0.4839,0.5056,0.5401,0.1037,0.4948,0.4957,0.6245,0.6033,0.4996,0.6308,0.0,0.4755,0.5266,0.5396,0.391,0.5103,0.401,0.4357,0.3542,0.2586,0.6152,0.5427,0.5161,0.2253,0.5788,0.6381,0.5402,0.5855,0.4608,0.5593,1.0,0.443,0.0,0.4811,0.3986,0.5335,0.4681,0.2271,0.5011,0.5163,0.5043,0.5357,0.462,0.6435,0.4316,0.6042,0.5899,0.4973,0.4349,0.4601,0.4902,0.5503,0.1395
Old Church Slavonic,0.4519,0.1002,0.3258,0.5154,0.2762,0.3494,0.411,0.4959,0.1078,0.4017,0.3349,0.4717,0.4696,0.3877,0.4897,0.0092,0.3703,0.4159,0.4219,0.5242,0.3436,0.1733,0.4596,0.4107,0.2428,0.45,0.4277,0.4683,0.2297,0.5568,0.5404,0.3317,0.4785,0.2937,0.4909,0.443,1.0,0.0,0.3404,0.3327,0.4083,0.2569,0.6537,0.4678,0.4007,0.3792,0.3836,0.3693,0.5081,0.3935,0.4409,0.4089,0.3013,0.4168,0.3,0.3902,0.3808,0.1831
Persian,0.0,0.0004,0.0,0.0039,0.0,0.0058,0.0059,0.0031,0.0,0.01,0.0025,0.0033,0.0005,0.0,0.0006,0.0,0.0006,0.0013,0.0023,0.0,0.0022,0.0,0.0913,0.0,0.0021,0.0,0.0007,0.0,0.0,0.0,0.0024,0.0018,0.0019,0.0,0.0,0.0,0.0,1.0,0.0017,0.0023,0.007,0.0009,0.0,0.0,0.0005,0.0012,0.0042,0.008,0.0004,0.0,0.0,0.0018,0.0012,0.0164,0.0,0.0018,0.0011,0.0
Polish,0.6385,0.2076,0.505,0.5815,0.7759,0.8042,0.7439,0.5046,0.0384,0.7353,0.911,0.7884,0.785,0.7486,0.7467,0.0,0.7242,0.7534,0.753,0.23,0.7755,0.6021,0.4688,0.3421,0.4542,0.54,0.7955,0.4818,0.1688,0.4814,0.6591,0.7884,0.7912,0.7429,0.5834,0.4811,0.3404,0.0017,1.0,0.5753,0.7529,0.7105,0.1843,0.5134,0.7146,0.8928,0.7351,0.7701,0.7746,0.4528,0.5934,0.5937,0.8092,0.4933,0.4562,0.5883,0.4779,0.1486
Portuguese,0.5447,0.1522,0.3798,0.513,0.5245,0.6359,0.6597,0.4996,0.0397,0.5793,0.5818,0.6205,0.6356,0.6796,0.5424,0.0003,0.6615,0.6029,0.5777,0.216,0.585,0.3259,0.4167,0.3474,0.4618,0.4539,0.6462,0.4161,0.134,0.4667,0.5577,0.5143,0.6115,0.5751,0.4891,0.3986,0.3327,0.0023,0.5753,1.0,0.6425,0.4092,0.1721,0.4323,0.5833,0.6266,0.5665,0.6469,0.6246,0.3788,0.4603,0.4229,0.5327,0.4192,0.3519,0.528,0.3718,0.1613
Romanian,0.7541,0.2113,0.6645,0.7485,0.6809,0.7978,0.8673,0.6384,0.053,0.8103,0.7834,0.8085,0.8145,0.8085,0.7493,0.0013,0.7823,0.77,0.7879,0.2812,0.7478,0.4775,0.6021,0.3693,0.4112,0.613,0.8673,0.5909,0.2124,0.5789,0.7361,0.7608,0.7698,0.691,0.6556,0.5335,0.4083,0.007,0.7529,0.6425,1.0,0.6182,0.2412,0.5668,0.8441,0.8162,0.8385,0.8182,0.815,0.524,0.629,0.5834,0.7253,0.5881,0.498,0.6149,0.5634,0.2164
Russian,0.5592,0.1858,0.4474,0.4743,0.8828,0.6201,0.5777,0.4202,0.0338,0.6279,0.7761,0.7626,0.7411,0.6483,0.7772,0.0069,0.5425,0.6317,0.7191,0.178,0.8367,0.8424,0.3596,0.2538,0.4164,0.509,0.7018,0.4575,0.1617,0.3784,0.5561,0.8795,0.7105,0.6672,0.4578,0.4681,0.2569,0.0009,0.7105,0.4092,0.6182,1.0,0.1505,0.4218,0.6218,0.7239,0.65,0.6178,0.7432,0.4103,0.6463,0.5841,0.901,0.3725,0.5094,0.5044,0.452,0.1379
Sanskrit,0.2751,0.0609,0.1991,0.283,0.1553,0.1978,0.2389,0.2662,0.0505,0.2171,0.1897,0.2653,0.2526,0.2037,0.2713,0.0,0.2148,0.2356,0.2261,0.2835,0.2062,0.0954,0.2123,0.179,0.0618,0.2513,0.2309,0.2578,0.2707,0.2885,0.2914,0.1901,0.2634,0.1607,0.3507,0.2271,0.6537,0.0,0.1843,0.1721,0.2412,0.1505,1.0,0.2745,0.2299,0.22,0.2177,0.1916,0.2912,0.212,0.2456,0.2366,0.1778,0.2277,0.1907,0.2346,0.2129,0.0883
Scottish Gaelic,0.5889,0.1541,0.4416,0.6285,0.4209,0.5009,0.5587,0.5681,0.0912,0.5743,0.5231,0.6247,0.6213,0.5231,0.6127,0.0615,0.5415,0.568,0.5277,0.3596,0.4938,0.3093,0.5281,0.3453,0.2332,0.5802,0.6103,0.5358,0.1777,0.6013,0.6702,0.5081,0.6023,0.3947,0.6201,0.5011,0.4678,0.0,0.5134,0.4323,0.5668,0.4218,0.2745,1.0,0.5619,0.5586,0.5732,0.5113,0.6658,0.4379,0.5073,0.5301,0.4682,0.5409,0.3827,0.4553,0.528,0.2695
Serbian,0.7338,0.2054,0.7326,0.7575,0.67,0.76,0.8211,0.6183,0.0576,0.9458,0.7544,0.8378,0.7827,0.7362,0.7654,0.0,0.7189,0.7478,0.7274,0.2848,0.7229,0.4944,0.5958,0.3379,0.3435,0.6008,0.8614,0.6198,0.1826,0.5811,0.7263,0.7296,0.7567,0.6606,0.6512,0.5163,0.4007,0.0005,0.7146,0.5833,0.8441,0.6218,0.2299,0.5619,1.0,0.7699,0.862,0.7602,0.8153,0.5103,0.6065,0.5882,0.7282,0.5858,0.4759,0.5993,0.5225,0.1829
Slovak,0.7032,0.2209,0.532,0.6574,0.802,0.8208,0.8005,0.5726,0.0648,0.8023,0.9387,0.8256,0.8181,0.7981,0.7703,0.0149,0.7791,0.805,0.7788,0.2466,0.8091,0.6207,0.5447,0.3748,0.4762,0.5852,0.8488,0.5213,0.1973,0.5218,0.7073,0.805,0.8219,0.7358,0.6165,0.5043,0.3792,0.0012,0.8928,0.6266,0.8162,0.7239,0.22,0.5586,0.7699,1.0,0.8049,0.7994,0.8138,0.5061,0.6087,0.6156,0.8383,0.5621,0.4787,0.6198,0.512,0.2273
